T/F,CP,CN,choice_depth,num_sat_clauses,lit,good_decision,majority_was_picked,CPxCN,sumCPCN,deltaC,maxCPCN
1,4,3,8,10107,171,False,True,12,7,-630,4
1,4,3,3,10254,375,True,True,12,7,-630,4
-1,0,5,1,9778,121,True,True,0,5,-630,5
-1,0,2,1,9922,111,True,True,0,2,-630,2
-1,0,4,4,10168,121,True,True,0,4,-630,4
-1,0,8,1,9651,111,True,True,0,8,-630,8
-1,0,9,2,9659,114,True,True,0,9,-630,9
1,4,3,3,9597,118,False,True,12,7,-630,4
1,4,3,9,10222,251,True,True,12,7,-630,4
-1,0,7,5,9638,125,True,True,0,7,-630,7
-1,0,9,2,9461,122,True,True,0,9,-630,9
-1,0,9,12,9533,132,True,True,0,9,-630,9
-1,0,7,2,9384,122,True,True,0,7,-630,7
-1,0,6,4,9384,124,True,True,0,6,-630,6
-1,0,2,6,9634,132,True,True,0,2,-630,2
-1,0,2,9,9553,132,True,True,0,2,-630,2
1,4,3,2,10360,315,True,True,12,7,-630,4
1,4,3,3,10444,412,True,True,12,7,-630,4
-1,0,4,2,9312,112,True,True,0,4,-630,4
-1,0,4,3,9322,113,True,True,0,4,-630,4
-1,0,7,2,9850,122,True,True,0,7,-630,7
-1,0,6,3,9845,123,True,True,0,6,-630,6
-1,0,2,1,9843,156,True,True,0,2,-630,2
1,4,3,1,10230,248,True,True,12,7,-630,4
1,4,3,2,9356,163,False,True,12,7,-630,4
1,4,3,8,9425,163,False,True,12,7,-630,4
1,4,3,8,9425,163,False,True,12,7,-630,4
1,4,3,3,10369,443,True,True,12,7,-630,4
1,4,3,4,10224,428,True,True,12,7,-630,4
1,4,3,1,10033,124,False,True,12,7,-630,4
1,4,3,1,10421,112,False,True,12,7,-630,4
1,4,3,8,10044,173,True,True,12,7,-630,4
1,4,3,10,10090,312,True,True,12,7,-630,4
1,4,3,7,10322,312,False,True,12,7,-630,4
1,4,3,1,10410,124,False,True,12,7,-630,4
1,4,3,9,10337,212,True,True,12,7,-630,4
1,4,3,3,10207,174,True,True,12,7,-630,4
1,4,3,4,10236,341,False,True,12,7,-630,4
1,4,3,11,10072,146,True,True,12,7,-630,4
-1,0,6,1,9535,132,True,True,0,6,-630,6
-1,0,1,1,9472,111,True,True,0,1,-630,1
-1,0,1,2,9474,112,True,True,0,1,-630,1
-1,0,5,10,9718,121,True,True,0,5,-630,5
1,4,3,9,10361,284,True,True,12,7,-630,4
-1,0,3,2,10030,155,True,True,0,3,-630,3
1,4,3,5,10376,435,False,True,12,7,-630,4
1,4,3,4,10107,182,True,True,12,7,-630,4
1,4,3,5,10004,141,False,True,12,7,-630,4
1,4,3,8,10164,243,False,True,12,7,-630,4
1,4,3,6,9887,124,True,True,12,7,-630,4
1,4,3,9,9767,124,True,True,12,7,-630,4
-1,0,3,2,10016,157,True,True,0,3,-630,3
1,4,3,4,10074,167,False,True,12,7,-630,4
1,4,3,1,10429,167,True,True,12,7,-630,4
1,4,3,1,9965,113,True,True,12,7,-630,4
1,4,3,7,10105,223,False,True,12,7,-630,4
-1,0,3,8,9942,123,True,True,0,3,-630,3
1,4,3,1,10292,158,True,True,12,7,-630,4
1,4,3,4,10298,186,False,True,12,7,-630,4
1,4,3,5,10338,272,False,True,12,7,-630,4
1,4,3,8,10027,275,True,True,12,7,-630,4
1,4,3,9,10070,288,True,True,12,7,-630,4
1,4,3,2,9740,117,True,True,12,7,-630,4
1,4,3,5,10116,351,True,True,12,7,-630,4
1,4,3,4,9661,154,True,True,12,7,-630,4
-1,0,6,1,9804,111,True,True,0,6,-630,6
1,4,3,1,10099,111,False,True,12,7,-630,4
1,4,3,7,9999,154,False,True,12,7,-630,4
1,4,3,8,10118,171,True,True,12,7,-630,4
1,4,3,9,10168,171,True,True,12,7,-630,4
1,4,3,20,9953,154,False,True,12,7,-630,4
1,4,3,20,10171,171,True,True,12,7,-630,4
-1,0,3,2,9629,125,True,True,0,3,-630,3
1,4,3,3,10283,173,True,True,12,7,-630,4
1,4,3,3,10265,218,False,True,12,7,-630,4
1,4,3,5,10226,224,True,True,12,7,-630,4
1,4,3,6,10395,413,False,True,12,7,-630,4
1,4,3,5,9862,278,False,True,12,7,-630,4
1,4,3,6,9905,284,False,True,12,7,-630,4
1,4,3,12,9851,278,False,True,12,7,-630,4
1,4,3,12,9895,284,False,True,12,7,-630,4
1,4,3,2,9975,147,False,True,12,7,-630,4
1,4,3,4,10291,174,False,True,12,7,-630,4
1,4,3,4,10221,174,False,True,12,7,-630,4
-1,0,2,2,10287,122,True,True,0,2,-630,2
1,4,3,4,10373,144,True,True,12,7,-630,4
-1,0,5,1,9611,111,True,True,0,5,-630,5
-1,0,6,3,9710,121,True,True,0,6,-630,6
-1,0,4,6,9798,131,True,True,0,4,-630,4
-1,0,6,9,9725,121,True,True,0,6,-630,6
-1,0,4,10,9806,131,True,True,0,4,-630,4
-1,0,6,2,9794,123,True,True,0,6,-630,6
-1,0,3,4,9857,224,True,True,0,3,-630,3
1,4,3,7,10039,241,False,True,12,7,-630,4
1,4,3,9,9934,241,False,True,12,7,-630,4
1,4,3,9,9986,241,False,True,12,7,-630,4
-1,0,3,10,9905,224,True,True,0,3,-630,3
1,4,3,10,10049,241,False,True,12,7,-630,4
1,4,3,10,10001,241,False,True,12,7,-630,4
-1,0,3,12,9912,224,True,True,0,3,-630,3
-1,0,2,13,9876,222,False,True,0,2,-630,2
-1,0,3,13,9909,224,True,True,0,3,-630,3
-1,0,3,17,9864,224,True,True,0,3,-630,3
1,4,3,17,10046,241,False,True,12,7,-630,4
1,4,3,17,9941,241,False,True,12,7,-630,4
1,4,3,17,9992,241,False,True,12,7,-630,4
-1,0,3,17,9912,224,True,True,0,3,-630,3
1,4,3,17,10056,241,False,True,12,7,-630,4
1,4,3,17,10009,241,False,True,12,7,-630,4
1,4,3,5,10180,152,False,True,12,7,-630,4
1,4,3,1,10249,175,False,True,12,7,-630,4
-1,0,2,2,10073,132,False,True,0,2,-630,2
1,4,3,4,10072,176,True,True,12,7,-630,4
1,4,3,6,10184,176,True,True,12,7,-630,4
1,4,3,11,10201,373,False,True,12,7,-630,4
1,4,3,11,10203,373,False,True,12,7,-630,4
1,4,3,11,10216,355,False,True,12,7,-630,4
1,4,3,11,10275,373,False,True,12,7,-630,4
1,4,3,5,10425,314,False,True,12,7,-630,4
1,4,3,11,10349,442,False,True,12,7,-630,4
1,4,3,11,10349,442,False,True,12,7,-630,4
1,4,3,13,10349,442,False,True,12,7,-630,4
1,4,3,13,10349,442,False,True,12,7,-630,4
1,4,3,3,9945,146,False,True,12,7,-630,4
1,4,3,6,10422,241,False,True,12,7,-630,4
1,4,3,9,10422,241,False,True,12,7,-630,4
1,4,3,5,10323,261,True,True,12,7,-630,4
1,4,3,7,10218,176,False,True,12,7,-630,4
1,4,3,1,10004,234,True,True,12,7,-630,4
-1,0,4,4,10210,412,True,True,0,4,-630,4
-1,0,7,5,10223,413,True,True,0,7,-630,7
1,4,3,6,10190,415,False,True,12,7,-630,4
-1,0,5,6,10180,412,True,True,0,5,-630,5
-1,0,7,6,10183,413,True,True,0,7,-630,7
1,4,3,6,10149,415,False,True,12,7,-630,4
-1,0,4,5,9989,175,True,True,0,4,-630,4
-1,0,2,6,9983,175,True,True,0,2,-630,2
1,4,3,8,10312,341,True,True,12,7,-630,4
1,4,3,2,10328,172,False,True,12,7,-630,4
1,4,3,3,10209,122,True,True,12,7,-630,4
-1,0,4,1,10143,112,True,True,0,4,-630,4
-1,0,3,3,10210,132,True,True,0,3,-630,3
1,4,3,1,10347,151,True,True,12,7,-630,4
1,4,3,2,10149,153,False,True,12,7,-630,4
1,4,3,3,10284,177,True,True,12,7,-630,4
1,4,3,3,10234,177,True,True,12,7,-630,4
1,4,3,4,10283,185,True,True,12,7,-630,4
1,4,3,5,10110,145,False,True,12,7,-630,4
1,4,3,8,10098,152,True,True,12,7,-630,4
-1,0,4,3,10066,221,True,True,0,4,-630,4
-1,0,4,5,10102,231,True,True,0,4,-630,4
-1,0,4,8,9968,221,True,True,0,4,-630,4
-1,0,4,8,10007,231,True,True,0,4,-630,4
1,4,3,2,10123,121,True,True,12,7,-630,4
-1,0,7,2,9557,113,True,True,0,7,-630,7
-1,0,3,3,9512,114,True,True,0,3,-630,3
-1,0,5,5,9693,123,True,True,0,5,-630,5
1,4,3,9,10031,244,False,True,12,7,-630,4
1,4,3,10,10101,271,True,True,12,7,-630,4
1,4,3,1,10338,113,False,True,12,7,-630,4
-1,0,7,7,9774,121,True,True,0,7,-630,7
-1,0,6,1,10070,132,True,True,0,6,-630,6
1,4,3,1,10267,111,False,True,12,7,-630,4
1,4,3,2,10414,241,False,True,12,7,-630,4
-1,0,5,2,9645,143,True,True,0,5,-630,5
-1,0,4,3,9853,127,False,True,0,4,-630,4
-1,0,5,4,9865,128,True,True,0,5,-630,5
-1,0,3,5,9877,137,True,True,0,3,-630,3
-1,0,5,10,9902,123,True,True,0,5,-630,5
-1,0,4,1,9567,115,True,True,0,4,-630,4
-1,0,6,6,9969,141,True,True,0,6,-630,6
-1,0,4,7,9892,142,True,True,0,4,-630,4
-1,0,4,3,9711,134,True,True,0,4,-630,4
-1,0,4,5,9549,114,True,True,0,4,-630,4
-1,0,3,4,10125,227,True,True,0,3,-630,3
1,4,3,6,10106,162,True,True,12,7,-630,4
1,4,3,9,9954,162,True,True,12,7,-630,4
-1,0,5,10,10050,222,True,True,0,5,-630,5
1,4,3,12,10322,312,False,True,12,7,-630,4
1,4,3,15,10113,275,True,True,12,7,-630,4
1,4,3,16,10164,282,True,True,12,7,-630,4
1,4,3,16,10259,312,False,True,12,7,-630,4
-1,0,3,4,9812,144,True,True,0,3,-630,3
-1,0,2,1,9930,142,True,True,0,2,-630,2
1,4,3,2,9848,138,True,True,12,7,-630,4
1,4,3,2,10016,126,False,True,12,7,-630,4
1,4,3,3,10068,126,False,True,12,7,-630,4
-1,0,5,1,9687,111,True,True,0,5,-630,5
-1,0,6,2,9720,113,True,True,0,6,-630,6
-1,0,6,3,9750,114,True,True,0,6,-630,6
1,4,3,4,10066,378,True,True,12,7,-630,4
-1,0,6,1,9943,111,True,True,0,6,-630,6
-1,0,6,2,9959,112,True,True,0,6,-630,6
1,4,3,3,9918,113,True,True,12,7,-630,4
1,4,3,2,10145,143,False,True,12,7,-630,4
-1,0,6,1,9707,113,True,True,0,6,-630,6
1,4,3,4,10273,174,True,True,12,7,-630,4
1,4,3,3,10231,172,False,True,12,7,-630,4
1,4,3,4,10347,315,True,True,12,7,-630,4
1,4,3,8,10043,183,True,True,12,7,-630,4
1,4,3,10,10125,218,False,True,12,7,-630,4
1,4,3,4,9672,147,True,True,12,7,-630,4
1,4,3,6,10125,144,False,True,12,7,-630,4
1,4,3,8,9763,143,True,True,12,7,-630,4
1,4,3,4,10114,275,False,True,12,7,-630,4
-1,0,5,5,9833,127,True,True,0,5,-630,5
-1,0,6,7,9872,137,True,True,0,6,-630,6
1,4,3,8,10068,275,False,True,12,7,-630,4
1,4,3,1,9387,112,True,True,12,7,-630,4
1,4,3,4,10251,227,False,True,12,7,-630,4
-1,0,5,1,10065,111,True,True,0,5,-630,5
-1,0,4,2,10035,115,True,True,0,4,-630,4
-1,0,4,3,10032,116,True,True,0,4,-630,4
-1,0,4,2,9855,116,True,True,0,4,-630,4
1,4,3,4,9964,181,True,True,12,7,-630,4
-1,0,7,1,9882,112,True,True,0,7,-630,7
1,4,3,3,10110,151,False,True,12,7,-630,4
1,4,3,7,10324,164,False,True,12,7,-630,4
1,4,3,4,10227,155,False,True,12,7,-630,4
-1,0,4,2,10037,143,True,True,0,4,-630,4
1,4,3,5,10290,177,False,True,12,7,-630,4
-1,0,2,8,9817,132,True,True,0,2,-630,2
-1,0,3,8,9860,133,True,True,0,3,-630,3
-1,0,4,1,9944,131,True,True,0,4,-630,4
-1,0,6,2,9943,133,True,True,0,6,-630,6
1,4,3,3,9914,135,False,True,12,7,-630,4
1,4,3,8,10354,172,True,True,12,7,-630,4
-1,0,2,1,10181,112,True,True,0,2,-630,2
1,4,3,1,10013,113,True,True,12,7,-630,4
1,4,3,2,10285,152,True,True,12,7,-630,4
-1,0,2,5,9837,135,True,True,0,2,-630,2
-1,0,5,6,9800,137,True,True,0,5,-630,5
-1,0,1,2,10369,167,True,True,0,1,-630,1
1,4,3,7,10035,181,True,True,12,7,-630,4
-1,0,2,1,9877,112,True,True,0,2,-630,2
-1,0,4,2,9820,113,True,True,0,4,-630,4
-1,0,1,4,10222,132,True,True,0,1,-630,1
-1,0,6,6,10034,132,True,True,0,6,-630,6
-1,0,3,7,10010,133,True,True,0,3,-630,3
1,4,3,2,10138,155,True,True,12,7,-630,4
1,4,3,4,10414,265,True,True,12,7,-630,4
1,4,3,5,9994,246,False,True,12,7,-630,4
1,4,3,9,10435,412,True,True,12,7,-630,4
-1,0,5,1,10056,125,True,True,0,5,-630,5
1,4,3,1,10209,414,True,True,12,7,-630,4
1,4,3,5,9865,211,False,True,12,7,-630,4
1,4,3,8,9892,211,False,True,12,7,-630,4
1,4,3,5,10232,267,False,True,12,7,-630,4
1,4,3,1,10165,121,True,True,12,7,-630,4
1,4,3,9,10179,374,False,True,12,7,-630,4
1,4,3,9,10237,374,False,True,12,7,-630,4
1,4,3,14,10204,274,False,True,12,7,-630,4
1,4,3,2,10196,132,True,True,12,7,-630,4
1,4,3,5,10394,142,False,True,12,7,-630,4
-1,0,4,2,9604,115,True,True,0,4,-630,4
-1,0,5,8,9975,134,True,True,0,5,-630,5
-1,0,4,9,9962,135,True,True,0,4,-630,4
-1,0,3,11,9776,122,True,True,0,3,-630,3
1,4,3,2,10015,113,True,True,12,7,-630,4
