T/F,CP,CN,choice_depth,num_sat_clauses,lit,good_decision,majority_was_picked,CPxCN,sumCPCN,deltaC,maxCPCN
-1,0,7,3,9527,121,True,True,0,7,-630,7
-1,0,7,7,9553,121,True,True,0,7,-630,7
1,4,3,8,10472,177,True,True,12,7,-630,4
1,4,3,4,10397,171,False,True,12,7,-630,4
1,4,3,10,10102,164,False,True,12,7,-630,4
1,4,3,11,10353,214,False,True,12,7,-630,4
1,4,3,11,10353,214,False,True,12,7,-630,4
-1,0,4,1,9690,142,True,True,0,4,-630,4
-1,0,4,5,10074,137,True,True,0,4,-630,4
1,4,3,10,10105,141,True,True,12,7,-630,4
-1,0,5,3,10064,118,True,True,0,5,-630,5
1,4,3,3,10037,174,False,True,12,7,-630,4
1,4,3,5,10158,127,True,True,12,7,-630,4
1,4,3,2,9501,135,False,True,12,7,-630,4
1,4,3,5,10201,347,True,True,12,7,-630,4
1,4,3,2,10365,128,False,True,12,7,-630,4
1,4,3,2,10124,121,False,True,12,7,-630,4
1,4,3,4,10250,213,True,True,12,7,-630,4
1,4,3,6,9749,126,True,True,12,7,-630,4
1,4,3,7,9774,135,True,True,12,7,-630,4
1,4,3,5,10053,151,False,True,12,7,-630,4
1,4,3,4,10300,243,True,True,12,7,-630,4
1,4,3,3,10424,181,True,True,12,7,-630,4
1,4,3,8,9872,152,True,True,12,7,-630,4
1,4,3,8,9882,152,True,True,12,7,-630,4
1,4,3,7,10186,313,True,True,12,7,-630,4
1,4,3,7,10187,313,True,True,12,7,-630,4
1,4,3,5,10398,182,False,True,12,7,-630,4
1,4,3,5,10303,344,True,True,12,7,-630,4
1,4,3,6,10382,416,True,True,12,7,-630,4
1,4,3,8,10078,343,False,True,12,7,-630,4
1,4,3,8,10115,343,False,True,12,7,-630,4
1,4,3,4,10208,244,True,True,12,7,-630,4
-1,0,6,10,10053,141,True,True,0,6,-630,6
1,4,3,12,10081,181,False,True,12,7,-630,4
1,4,3,3,10013,274,False,True,12,7,-630,4
-1,0,4,5,10105,132,True,True,0,4,-630,4
-1,0,5,1,9631,112,True,True,0,5,-630,5
-1,0,5,4,9725,122,True,True,0,5,-630,5
1,4,3,7,10334,142,True,True,12,7,-630,4
-1,0,2,7,10143,175,True,True,0,2,-630,2
1,4,3,8,10165,314,False,True,12,7,-630,4
1,4,3,2,9934,128,True,True,12,7,-630,4
1,4,3,6,10095,223,False,True,12,7,-630,4
1,4,3,11,10061,173,True,True,12,7,-630,4
1,4,3,12,10113,181,True,True,12,7,-630,4
1,4,3,13,10151,211,True,True,12,7,-630,4
1,4,3,13,9950,181,True,True,12,7,-630,4
1,4,3,13,10041,211,True,True,12,7,-630,4
1,4,3,8,10428,214,False,True,12,7,-630,4
1,4,3,2,10018,117,True,True,12,7,-630,4
1,4,3,3,10184,242,True,True,12,7,-630,4
1,4,3,7,10362,145,False,True,12,7,-630,4
1,4,3,2,9866,116,True,True,12,7,-630,4
-1,0,2,1,9960,112,True,True,0,2,-630,2
1,4,3,1,9770,117,True,True,12,7,-630,4
1,4,3,5,10425,152,False,True,12,7,-630,4
1,4,3,7,10020,281,False,True,12,7,-630,4
1,4,3,7,10018,281,False,True,12,7,-630,4
1,4,3,9,10266,157,False,True,12,7,-630,4
1,4,3,10,10206,156,True,True,12,7,-630,4
1,4,3,11,10400,412,True,True,12,7,-630,4
1,4,3,3,10126,122,True,True,12,7,-630,4
1,4,3,2,10230,132,False,True,12,7,-630,4
1,4,3,4,10137,217,False,True,12,7,-630,4
1,4,3,7,10132,226,True,True,12,7,-630,4
-1,0,6,8,9583,134,True,True,0,6,-630,6
1,4,3,9,10053,226,True,True,12,7,-630,4
